Metadata_treatment,delta_mAP,Pathway,rank
UCD-0001016,0.0,Neuronal Signaling,49.0
UCD-0001810,0.0,DNA Damage,49.0
UCD-0001766,0.0,Angiogenesis,49.0
UCD-0001808,0.0,MAPK,49.0
UCD-0001801,0.0,Endocrinology & Hormones,49.0
UCD-0159285,0.0,DNA Damage,49.0
UCD-0159279,0.0,Others,49.0
UCD-0159284,0.0,Stem Cells &  Wnt,49.0
UCD-0159261,0.0,Others,49.0
UCD-0159257,0.0,DNA Damage,49.0
UCD-0159263,0.0,Others,49.0
UCD-0159262,0.0,Others,49.0
UCD-0018179,0.0,MAPK,49.0
UCD-0018091,0.0,GPCR & G Protein,49.0
UCD-0017999,0.0,Endocrinology & Hormones,49.0
UCD-0001915,0.0,Others,49.0
UCD-0001844,0.0,Others,49.0
UCD-0159283,0.0,Endocrinology & Hormones,49.0
UCD-0159269,0.0,Others,49.0
UCD-0018131,-0.02083333333333337,Angiogenesis,30.0
UCD-0001040,-0.02083333333333337,Endocrinology & Hormones,30.0
UCD-0001775,-0.033333333333333215,Others,28.0
UCD-0159273,-0.03363095238095237,Others,27.0
UCD-0159264,-0.048444842301952104,Neuronal Signaling,26.0
UCD-0018207,-0.08194444444444438,Neuronal Signaling,25.0
UCD-0159256,-0.08194444444444438,Apoptosis,25.0
UCD-0001804,-0.10833333333333328,MAPK,23.0
UCD-0001613,-0.1441113524534393,Endocrinology & Hormones,22.0
UCD-0000450,-0.1444444444444445,Neuronal Signaling,21.0
UCD-0159289,-0.1449143238063116,Metabolism,20.0
UCD-0159265,-0.1460896208561483,Neuronal Signaling,19.0
UCD-0159293,-0.1618465524149404,Others,18.0
UCD-0001842,-0.1625496769589062,Neuronal Signaling,17.0
UCD-0159275,-0.17632394178446814,Others,16.0
UCD-0001014,-0.18541666666666656,Neuronal Signaling,15.0
UCD-0159280,-0.19135039574961776,Others,14.0
UCD-0001921,-0.21294018417197835,Epigenetics,13.0
UCD-0159274,-0.21538334853552232,Others,12.0
UCD-0159286,-0.2456146828557928,Others,11.0
UCD-0159259,-0.24816922742556385,PI3K/Akt/mTOR,10.0
UCD-0001024,-0.27546313148797164,Neuronal Signaling,9.0
UCD-0159270,-0.2796000417710943,Others,8.0
UCD-0001829,-0.2828282828282829,PI3K/Akt/mTOR,7.0
UCD-0159271,-0.29157277747704996,Others,6.0
UCD-0159290,-0.30000000000000016,PI3K/Akt/mTOR,5.0
UCD-0001835,-0.32082554063883834,Others,4.0
UCD-0159258,-0.3507936507936509,Angiogenesis,3.0
UCD-0001792,-0.4916666666666667,Others,2.0
UCD-0001783,-0.5652941176470588,Others,1.0
