Metadata_treatment,Metadata_reference_index,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
UCD-0000450,-1,1.0,"[7, 56, 102, 149]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001014,-1,0.9166666666666666,"[15, 64, 110, 157]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001016,-1,1.0,"[25, 72, 119, 166]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001024,-1,0.4765271765271765,"[43, 90, 137, 183]",0.11288711288711288,0.12292152292152292,False,False
UCD-0001040,-1,1.0,"[6, 54, 100, 148]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001613,-1,0.2834889511360099,"[31, 78, 125, 172]",0.34065934065934067,0.34065934065934067,False,False
UCD-0001766,-1,1.0,"[1, 48, 95, 142]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001775,-1,1.0,"[19, 67, 113, 161]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001783,-1,1.0,"[51, 145]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001792,-1,1.0,"[21, 115]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001801,-1,1.0,"[36, 83, 130, 176]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001804,-1,1.0,"[26, 73, 120, 167]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001808,-1,1.0,"[35, 82, 129, 175]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001810,-1,1.0,"[9, 58, 104, 151]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001829,-1,0.7999999999999999,"[44, 91, 138, 184]",0.007992007992007992,0.011188811188811189,True,True
UCD-0001835,-1,0.8202614379084968,"[39, 86, 133, 179]",0.004995004995004995,0.007198683669271904,True,True
UCD-0001842,-1,0.7256944444444445,"[46, 93, 140, 186]",0.017982017982017984,0.022592791823561057,True,True
UCD-0001844,-1,1.0,"[28, 75, 122, 169]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001915,-1,1.0,"[3, 50, 97, 144]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0001921,-1,0.7429887106357694,"[32, 79, 126, 173]",0.017982017982017984,0.022592791823561057,True,True
UCD-0017999,-1,1.0,"[14, 63, 109, 156]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0018091,-1,1.0,"[55, 101]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0018131,-1,1.0,"[42, 89, 136, 182]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0018179,-1,1.0,"[24, 71, 118, 165]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0018207,-1,1.0,"[27, 74, 121, 168]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159256,-1,1.0,"[0, 47, 94, 141]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159257,-1,1.0,"[8, 57, 103, 150]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159258,-1,1.0,"[16, 65, 111, 158]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159259,-1,0.701388888888889,"[45, 92, 139, 185]",0.02097902097902098,0.0256993006993007,True,True
UCD-0159261,-1,1.0,"[17, 66, 112, 159]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159262,-1,1.0,"[2, 49, 96, 143]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159263,-1,1.0,"[10, 59, 105, 152]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159264,-1,0.28125,"[18, 160]",0.18281718281718282,0.19059663740514804,False,False
UCD-0159265,-1,0.6167004048582996,"[37, 84, 131, 177]",0.030969030969030968,0.035290291104244594,True,True
UCD-0159269,-1,1.0,"[11, 60, 106, 153]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159270,-1,0.9479166666666666,"[29, 76, 123, 170]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159271,-1,0.759952766531714,"[38, 85, 132, 178]",0.012987012987012988,0.017199017199017202,True,True
UCD-0159273,-1,0.7614087301587301,"[12, 61, 107, 154]",0.012987012987012988,0.017199017199017202,True,True
UCD-0159274,-1,0.9393939393939393,"[20, 68, 114, 162]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159275,-1,0.6222222222222222,"[30, 77, 124, 171]",0.029970029970029972,0.03496503496503497,True,True
UCD-0159279,-1,1.0,"[4, 52, 98, 146]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159280,-1,0.6533459595959596,"[40, 87, 134, 180]",0.025974025974025976,0.031042128603104215,True,True
UCD-0159283,-1,1.0,"[5, 53, 99, 147]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159284,-1,1.0,"[13, 62, 108, 155]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159285,-1,1.0,"[22, 69, 116, 163]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159286,-1,0.510661048044949,"[41, 88, 135, 181]",0.08191808191808192,0.0912269548633185,False,False
UCD-0159289,-1,0.303525641025641,"[23, 70, 117, 164]",0.2937062937062937,0.29982517482517484,False,False
UCD-0159290,-1,1.0,"[33, 80, 127]",0.000999000999000999,0.0014833651197287562,True,True
UCD-0159293,-1,0.4406145572263993,"[34, 81, 128, 174]",0.17382617382617382,0.185162663423533,False,False
