Metadata_plate_barcode,Metadata_plate_name,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_reference_index,n_pos_pairs,n_total_pairs,average_precision
localhost240926150001,Plate_1,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,-1,3,19,0.9166666666666666
localhost240926150001,Plate_1,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,-1,3,19,0.3242424242424242
localhost240926150001,Plate_1,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,-1,3,19,0.7192982456140351
localhost240926150001,Plate_1,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,-1,3,19,1.0
localhost240926150001,Plate_1,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,-1,3,19,0.44017094017094016
localhost240926150001,Plate_1,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,-1,3,19,1.0
localhost240926150001,Plate_1,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,-1,3,19,0.5277777777777778
localhost240926150001,Plate_1,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,-1,3,19,0.2343304843304843
localhost240926150001,Plate_1,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,-1,3,19,0.3055555555555555
localhost240926150001,Plate_1,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,-1,3,19,0.31216931216931215
localhost240926150001,Plate_1,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,-1,3,19,0.48333333333333334
localhost240926150001,Plate_1,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,-1,3,19,0.16907166907166907
localhost240926150001,Plate_1,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,-1,3,19,0.15079365079365079
localhost240926150001,Plate_1,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells & Wnt,D02,-1,3,19,0.1912087912087912
localhost240926150001,Plate_1,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,-1,3,19,0.21766381766381768
localhost240926150001,Plate_1,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,-1,3,19,0.29444444444444445
localhost240926150001,Plate_1,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,Angiogenesis,D06,-1,3,19,0.33730158730158727
localhost240926150001,Plate_1,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,-1,3,19,0.6666666666666666
localhost240926150001,Plate_1,D,8,19,failing,dilated_cardiomyopathy,UCD-0159264,Neuronal Signaling,D08,-1,1,17,0.07692307692307693
localhost240926150001,Plate_1,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,-1,3,19,0.5444444444444444
localhost240926150001,Plate_1,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,-1,3,19,0.3304093567251462
localhost240926150001,Plate_1,D,11,19,failing,dilated_cardiomyopathy,UCD-0001792,Others,D11,-1,1,17,0.25
localhost240926150001,Plate_1,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,-1,3,19,0.6324786324786325
localhost240926150001,Plate_1,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,-1,3,19,0.2686868686868687
localhost240926150001,Plate_1,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,-1,3,19,0.3686868686868687
localhost240926150001,Plate_1,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,-1,3,19,0.611111111111111
localhost240926150001,Plate_1,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,MAPK,E09,-1,3,19,0.2619047619047619
localhost240926150001,Plate_1,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,-1,3,19,0.2380952380952381
localhost240926150001,Plate_1,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,-1,3,19,0.7435897435897436
localhost240926150001,Plate_1,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,-1,3,19,0.7222222222222222
localhost240926150001,Plate_1,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,-1,3,19,0.7666666666666666
localhost240926150001,Plate_1,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,-1,3,19,1.0
localhost240926150001,Plate_1,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,-1,3,19,0.2828282828282828
localhost240926150001,Plate_1,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,-1,2,18,0.5909090909090909
localhost240926150001,Plate_1,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,-1,3,19,0.7380952380952381
localhost240926150001,Plate_1,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,-1,3,19,0.7555555555555555
localhost240926150001,Plate_1,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,-1,3,19,0.4512820512820513
localhost240926150001,Plate_1,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,-1,3,19,0.7291666666666666
localhost240926150001,Plate_1,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,-1,3,19,0.19907407407407407
localhost240926150001,Plate_1,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,-1,3,19,0.4777777777777778
localhost240926150001,Plate_1,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,-1,3,19,0.7222222222222222
localhost240926150001,Plate_1,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,-1,3,19,0.9166666666666666
localhost240926150001,Plate_1,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,-1,3,19,0.8055555555555555
localhost240926150001,Plate_1,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,-1,3,19,0.9166666666666666
localhost240926150001,Plate_1,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,-1,3,19,1.0
localhost240926150001,Plate_1,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,-1,3,19,0.7916666666666666
localhost240926150001,Plate_1,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,-1,3,19,1.0
localhost240927060001,Plate_2,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,-1,3,19,0.8333333333333334
localhost240927060001,Plate_2,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,-1,3,19,0.4444444444444444
localhost240927060001,Plate_2,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,-1,3,19,0.5526315789473685
localhost240927060001,Plate_2,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,-1,3,19,1.0
localhost240927060001,Plate_2,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,-1,1,17,1.0
localhost240927060001,Plate_2,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,-1,3,19,0.28518518518518515
localhost240927060001,Plate_2,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,-1,3,19,0.7000000000000001
localhost240927060001,Plate_2,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,-1,3,19,0.4772727272727273
localhost240927060001,Plate_2,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,-1,1,17,0.14285714285714285
localhost240927060001,Plate_2,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,-1,3,19,0.27777777777777773
localhost240927060001,Plate_2,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,-1,3,19,0.29393939393939394
localhost240927060001,Plate_2,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,-1,3,19,0.4444444444444444
localhost240927060001,Plate_2,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,-1,3,19,0.3242424242424242
localhost240927060001,Plate_2,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,-1,3,19,0.5277777777777778
localhost240927060001,Plate_2,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,-1,3,19,0.16199813258636786
localhost240927060001,Plate_2,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells & Wnt,D02,-1,3,19,0.13789682539682538
localhost240927060001,Plate_2,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,-1,3,19,0.27777777777777773
localhost240927060001,Plate_2,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,-1,3,19,0.5694444444444444
localhost240927060001,Plate_2,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,Angiogenesis,D06,-1,3,19,0.30357142857142855
localhost240927060001,Plate_2,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,-1,3,19,0.5873015873015873
localhost240927060001,Plate_2,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,-1,3,19,0.3055555555555555
localhost240927060001,Plate_2,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,-1,3,19,0.2096171802054155
localhost240927060001,Plate_2,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,-1,3,19,0.6324786324786325
localhost240927060001,Plate_2,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,-1,3,19,0.3873015873015873
localhost240927060001,Plate_2,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,-1,3,19,0.5158730158730158
localhost240927060001,Plate_2,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,-1,3,19,0.611111111111111
localhost240927060001,Plate_2,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,MAPK,E09,-1,3,19,0.48888888888888893
localhost240927060001,Plate_2,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,-1,3,19,0.21805555555555553
localhost240927060001,Plate_2,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,-1,3,19,0.7575757575757575
localhost240927060001,Plate_2,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,-1,3,19,0.8055555555555555
localhost240927060001,Plate_2,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,-1,3,19,0.75
localhost240927060001,Plate_2,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,-1,3,19,1.0
localhost240927060001,Plate_2,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,-1,3,19,0.18803418803418803
localhost240927060001,Plate_2,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,-1,2,18,0.225
localhost240927060001,Plate_2,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,-1,3,19,0.7333333333333334
localhost240927060001,Plate_2,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,-1,3,19,1.0
localhost240927060001,Plate_2,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,-1,3,19,0.5074074074074074
localhost240927060001,Plate_2,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,-1,3,19,0.7291666666666666
localhost240927060001,Plate_2,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,-1,3,19,0.48333333333333334
localhost240927060001,Plate_2,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,-1,3,19,0.33164983164983164
localhost240927060001,Plate_2,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,-1,3,19,0.7000000000000001
localhost240927060001,Plate_2,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,-1,3,19,0.6388888888888888
localhost240927060001,Plate_2,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,-1,3,19,0.8055555555555555
localhost240927060001,Plate_2,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,-1,3,19,1.0
localhost240927060001,Plate_2,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,-1,3,19,1.0
localhost240927060001,Plate_2,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,-1,3,19,0.7916666666666666
localhost240927060001,Plate_2,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,-1,3,19,1.0
localhost240927120001,Plate_3,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,-1,3,19,0.8095238095238096
localhost240927120001,Plate_3,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,-1,3,19,0.4666666666666666
localhost240927120001,Plate_3,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,-1,3,19,0.11699346405228757
localhost240927120001,Plate_3,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,-1,3,19,1.0
localhost240927120001,Plate_3,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,-1,3,19,0.4444444444444444
localhost240927120001,Plate_3,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,-1,3,19,1.0
localhost240927120001,Plate_3,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,-1,3,19,0.5277777777777778
localhost240927120001,Plate_3,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,-1,1,17,0.16666666666666666
localhost240927120001,Plate_3,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,-1,3,19,0.2896825396825397
localhost240927120001,Plate_3,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,-1,3,19,0.15961538461538463
localhost240927120001,Plate_3,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,-1,3,19,0.13992673992673993
localhost240927120001,Plate_3,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,-1,3,19,0.5555555555555555
localhost240927120001,Plate_3,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,-1,3,19,0.14572649572649574
localhost240927120001,Plate_3,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,-1,3,19,0.16096491228070176
localhost240927120001,Plate_3,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells & Wnt,D02,-1,3,19,0.46249999999999997
localhost240927120001,Plate_3,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,-1,3,19,0.28472222222222215
