Metadata_treatment,Metadata_reference_index,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
UCD-0000450,-1,0.2577393671143671,"[7, 56, 102, 149]",0.41358641358641357,0.4311858354411546,False,False
UCD-0001014,-1,0.4350198412698413,"[15, 64, 110, 157]",0.17782217782217782,0.3111888111888112,False,False
UCD-0001016,-1,0.4473824786324786,"[25, 72, 119, 166]",0.16183816183816183,0.2937062937062937,False,False
UCD-0001024,-1,0.9458333333333333,"[43, 90, 137, 183]",0.000999000999000999,0.00979020979020979,True,True
UCD-0001040,-1,0.5009226884226884,"[6, 54, 100, 148]",0.08691308691308691,0.19357914812460267,False,False
UCD-0001613,-1,0.8694444444444445,"[31, 78, 125, 172]",0.003996003996003996,0.024475524475524476,True,True
UCD-0001766,-1,0.3582431457431457,"[1, 48, 95, 142]",0.23476523476523475,0.3485908031362577,False,False
UCD-0001775,-1,0.4220328282828283,"[19, 67, 113, 161]",0.1958041958041958,0.33084157222088256,False,False
UCD-0001783,-1,1.0,"[51, 145]",0.000999000999000999,0.00979020979020979,True,True
UCD-0001792,-1,0.175,"[21, 115]",0.3076923076923077,0.3916083916083916,False,False
UCD-0001801,-1,0.4805352055352055,"[36, 83, 130, 176]",0.10589410589410589,0.2162004662004662,False,False
UCD-0001804,-1,0.3902625152625153,"[26, 73, 120, 167]",0.21178821178821178,0.334762012181367,False,False
UCD-0001808,-1,0.8972222222222221,"[35, 82, 129, 175]",0.003996003996003996,0.024475524475524476,True,True
UCD-0001810,-1,0.2708943833943834,"[9, 58, 104, 151]",0.3806193806193806,0.4144522144522144,False,False
UCD-0001829,-1,1.0,"[44, 91, 138, 184]",0.000999000999000999,0.00979020979020979,True,True
UCD-0001835,-1,0.5793410293410294,"[39, 86, 133, 179]",0.04395604395604396,0.12237762237762238,True,False
UCD-0001842,-1,1.0,"[46, 93, 140, 186]",0.000999000999000999,0.00979020979020979,True,True
UCD-0001844,-1,0.5886425952215426,"[28, 75, 122, 169]",0.04295704295704296,0.12237762237762238,True,False
UCD-0001915,-1,1.0,"[3, 50, 97, 144]",0.000999000999000999,0.00979020979020979,True,True
UCD-0001921,-1,0.27692179287574026,"[32, 79, 126, 173]",0.35764235764235763,0.398283534647171,False,False
UCD-0017999,-1,0.28026822714322713,"[14, 63, 109, 156]",0.34965034965034963,0.398283534647171,False,False
UCD-0018091,-1,0.15476190476190477,"[55, 101]",0.34765234765234765,0.398283534647171,False,False
UCD-0018131,-1,0.8333333333333333,"[42, 89, 136, 182]",0.003996003996003996,0.024475524475524476,True,True
UCD-0018179,-1,0.38970057720057716,"[24, 71, 118, 165]",0.21178821178821178,0.334762012181367,False,False
UCD-0018207,-1,0.26227184587285207,"[27, 74, 121, 168]",0.4015984015984016,0.4277896017026452,False,False
UCD-0159256,-1,0.6976190476190477,"[0, 47, 94, 141]",0.023976023976023976,0.09037116729424421,True,False
UCD-0159257,-1,0.2830315517815518,"[8, 57, 103, 150]",0.3436563436563437,0.398283534647171,False,False
UCD-0159258,-1,0.2909722222222222,"[16, 65, 111, 158]",0.3196803196803197,0.3916083916083916,False,False
UCD-0159259,-1,0.7722222222222221,"[45, 92, 139, 185]",0.01098901098901099,0.04895104895104895,True,True
UCD-0159261,-1,0.5663780663780664,"[17, 66, 112, 159]",0.04795204795204795,0.12237762237762238,True,False
UCD-0159262,-1,0.5270553835569316,"[2, 49, 96, 143]",0.07192807192807193,0.16783216783216787,False,False
UCD-0159263,-1,0.47917568542568534,"[10, 59, 105, 152]",0.10589410589410589,0.2162004662004662,False,False
UCD-0159264,-1,0.08391608391608392,"[18, 160]",0.6333666333666333,0.6465617715617715,False,False
UCD-0159265,-1,0.5757761437908496,"[37, 84, 131, 177]",0.04695304695304695,0.12237762237762238,True,False
UCD-0159269,-1,0.3326677951677952,"[11, 60, 106, 153]",0.25874125874125875,0.3521756021756022,False,False
UCD-0159270,-1,0.6884920634920635,"[29, 76, 123, 170]",0.023976023976023976,0.09037116729424421,True,False
UCD-0159271,-1,0.33915343915343915,"[38, 85, 132, 178]",0.2517482517482518,0.3521756021756022,False,False
UCD-0159273,-1,0.18870061182367684,"[12, 61, 107, 154]",0.6613386613386614,0.6613386613386614,False,False
UCD-0159274,-1,0.2930266113315649,"[20, 68, 114, 162]",0.31868131868131866,0.3916083916083916,False,False
UCD-0159275,-1,0.5597222222222222,"[30, 77, 124, 171]",0.04995004995004995,0.12237762237762238,True,False
UCD-0159279,-1,0.35842236467236466,"[4, 52, 98, 146]",0.23476523476523475,0.3485908031362577,False,False
UCD-0159280,-1,0.6662698412698413,"[40, 87, 134, 180]",0.025974025974025976,0.09090909090909093,True,False
UCD-0159283,-1,0.8218253968253968,"[5, 53, 99, 147]",0.004995004995004995,0.027195027195027192,True,True
UCD-0159284,-1,0.31873473748473746,"[13, 62, 108, 155]",0.26973026973026976,0.35721035721035727,False,False
UCD-0159285,-1,0.46600783475783475,"[22, 69, 116, 163]",0.1258741258741259,0.2372243141473911,False,False
UCD-0159286,-1,0.7777777777777777,"[41, 88, 135, 181]",0.008991008991008992,0.04405594405594406,True,True
UCD-0159289,-1,0.3329455266955267,"[23, 70, 117, 164]",0.25874125874125875,0.3521756021756022,False,False
UCD-0159290,-1,0.4756734006734007,"[33, 80, 127]",0.12487512487512488,0.2372243141473911,False,False
UCD-0159293,-1,0.6199494949494949,"[34, 81, 128, 174]",0.029970029970029972,0.0979020979020979,True,False
