original_index,Metadata_plate_barcode,Metadata_plate_name,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_treatment_type,Metadata_control_type,Metadata_targeted,Metadata_reference_index,Metadata_reference_control_type,n_pos_pairs,n_total_pairs,average_precision
0,localhost240926150001,Plate_1,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,True,-1,negative,3,3,1.0
3,localhost240926150001,Plate_1,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,True,-1,negative,3,3,1.0
6,localhost240926150001,Plate_1,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,True,-1,negative,3,3,1.0
8,localhost240926150001,Plate_1,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,True,-1,negative,3,3,1.0
26,localhost240926150001,Plate_1,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,True,4,negative,0,24,
29,localhost240926150001,Plate_1,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,True,5,negative,0,24,
32,localhost240926150001,Plate_1,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,True,6,negative,0,24,
35,localhost240926150001,Plate_1,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,True,7,negative,0,24,
55,localhost240927060001,Plate_2,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9355187613371756
58,localhost240927060001,Plate_2,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.9238082129064004
61,localhost240927060001,Plate_2,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.9414690753333674
64,localhost240927060001,Plate_2,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.8278226653106091
81,localhost240927060001,Plate_2,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.7842603612001008
84,localhost240927060001,Plate_2,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.936786037828969
87,localhost240927060001,Plate_2,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.7821087447006583
90,localhost240927060001,Plate_2,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.9481097979839838
110,localhost240927120001,Plate_3,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9341373002949843
113,localhost240927120001,Plate_3,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.936786037828969
116,localhost240927120001,Plate_3,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.9391265125993892
118,localhost240927120001,Plate_3,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.9050772851490075
136,localhost240927120001,Plate_3,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.7752334460862292
139,localhost240927120001,Plate_3,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.9294547402920582
142,localhost240927120001,Plate_3,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8064458537164062
145,localhost240927120001,Plate_3,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.9364224103032066
165,localhost240928120001,Plate_4,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9471401528380935
168,localhost240928120001,Plate_4,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.815883142605491
171,localhost240928120001,Plate_4,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.9415156591842992
174,localhost240928120001,Plate_4,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.9415242108091079
192,localhost240928120001,Plate_4,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.9366494384485133
195,localhost240928120001,Plate_4,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.8622206557026475
198,localhost240928120001,Plate_4,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8994272980600213
201,localhost240928120001,Plate_4,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.8553490214494971
0,localhost240926150001,Plate_1,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9513015169796027
3,localhost240926150001,Plate_1,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.9502709980856873
6,localhost240926150001,Plate_1,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.939936257580317
8,localhost240926150001,Plate_1,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.9551109781898203
