Metadata_treatment,Metadata_reference_index,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
UCD-0000450,-1,0.1953732488271962,"[7, 56, 102, 149]",0.6333666333666333,0.6603184049992561,False,False
UCD-0001014,-1,0.34890873015873014,"[15, 64, 110, 157]",0.24375624375624375,0.3412587412587412,False,False
UCD-0001016,-1,0.37274388623072835,"[25, 72, 119, 166]",0.2217782217782218,0.33227378681924136,False,False
UCD-0001024,-1,1.0,"[43, 90, 137, 183]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001040,-1,0.621031746031746,"[6, 54, 100, 148]",0.029970029970029972,0.11296395911780527,True,False
UCD-0001613,-1,1.0,"[31, 78, 125, 172]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001766,-1,0.38410800800506684,"[1, 48, 95, 142]",0.21878121878121878,0.33227378681924136,False,False
UCD-0001775,-1,0.34523945553357316,"[19, 67, 113, 161]",0.24375624375624375,0.3412587412587412,False,False
UCD-0001783,-1,1.0,"[51, 145]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001792,-1,0.5416666666666666,"[21, 115]",0.07192807192807193,0.16783216783216787,False,False
UCD-0001801,-1,0.5314176986584107,"[36, 83, 130, 176]",0.06993006993006994,0.16783216783216787,False,False
UCD-0001804,-1,0.5020500333000333,"[26, 73, 120, 167]",0.08691308691308691,0.185162663423533,False,False
UCD-0001808,-1,1.0,"[35, 82, 129, 175]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001810,-1,0.36995936532507734,"[9, 58, 104, 151]",0.2217782217782218,0.33227378681924136,False,False
UCD-0001829,-1,1.0,"[44, 91, 138, 184]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001835,-1,0.5451897639397639,"[39, 86, 133, 179]",0.06493506493506493,0.16746411483253587,False,False
UCD-0001842,-1,1.0,"[46, 93, 140, 186]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001844,-1,0.5826762576375579,"[28, 75, 122, 169]",0.04395604395604396,0.13053613053613053,True,False
UCD-0001915,-1,1.0,"[3, 50, 97, 144]",0.000999000999000999,0.006118881118881119,True,True
UCD-0001921,-1,0.2857204915254451,"[32, 79, 126, 173]",0.3356643356643357,0.40115981579396215,False,False
UCD-0017999,-1,0.1956172042182104,"[14, 63, 109, 156]",0.6333666333666333,0.6603184049992561,False,False
UCD-0018091,-1,0.08571428571428572,"[55, 101]",0.6333666333666333,0.6603184049992561,False,False
UCD-0018131,-1,0.7634920634920636,"[42, 89, 136, 182]",0.012987012987012988,0.0707070707070707,True,False
UCD-0018179,-1,0.20690756003256006,"[24, 71, 118, 165]",0.5894105894105894,0.6603184049992561,False,False
UCD-0018207,-1,0.311881692725346,"[27, 74, 121, 168]",0.2827172827172827,0.3475524475524475,False,False
UCD-0159256,-1,0.6065799804770392,"[0, 47, 94, 141]",0.03996003996003996,0.13053613053613053,True,False
UCD-0159257,-1,0.2049475865265339,"[8, 57, 103, 150]",0.5994005994005994,0.6603184049992561,False,False
UCD-0159258,-1,0.17598790098790099,"[16, 65, 111, 158]",0.7182817182817183,0.7332459207459208,False,False
UCD-0159259,-1,0.738476800976801,"[45, 92, 139, 185]",0.017982017982017984,0.08010171646535284,True,False
UCD-0159261,-1,0.37923336875542757,"[17, 66, 112, 159]",0.21978021978021978,0.33227378681924136,False,False
UCD-0159262,-1,0.570796783625731,"[2, 49, 96, 143]",0.04795204795204795,0.13053613053613053,True,False
UCD-0159263,-1,0.3101623662285427,"[10, 59, 105, 152]",0.2837162837162837,0.3475524475524475,False,False
UCD-0159264,-1,0.0625,"[18, 160]",0.8701298701298701,0.8701298701298701,False,False
UCD-0159265,-1,0.5705678104575164,"[37, 84, 131, 177]",0.04795204795204795,0.13053613053613053,True,False
UCD-0159269,-1,0.37039835164835166,"[11, 60, 106, 153]",0.2217782217782218,0.33227378681924136,False,False
UCD-0159270,-1,0.4688339438339438,"[29, 76, 123, 170]",0.12287712287712288,0.2508741258741259,False,False
UCD-0159271,-1,0.39922969187675067,"[38, 85, 132, 178]",0.20679320679320679,0.33227378681924136,False,False
UCD-0159273,-1,0.2211205096073517,"[12, 61, 107, 154]",0.5294705294705294,0.6177156177156177,False,False
UCD-0159274,-1,0.3166532269473446,"[20, 68, 114, 162]",0.2787212787212787,0.3475524475524475,False,False
UCD-0159275,-1,0.5042892156862745,"[30, 77, 124, 171]",0.08691308691308691,0.185162663423533,False,False
UCD-0159279,-1,0.32274974767234826,"[4, 52, 98, 146]",0.2627372627372627,0.3475524475524475,False,False
UCD-0159280,-1,0.9458333333333333,"[40, 87, 134, 180]",0.000999000999000999,0.006118881118881119,True,True
UCD-0159283,-1,0.7527777777777778,"[5, 53, 99, 147]",0.016983016983016984,0.08010171646535284,True,False
UCD-0159284,-1,0.33927886662987283,"[13, 62, 108, 155]",0.2517482517482518,0.34265734265734266,False,False
UCD-0159285,-1,0.3652876807288572,"[22, 69, 116, 163]",0.22377622377622378,0.33227378681924136,False,False
UCD-0159286,-1,0.5731150793650793,"[41, 88, 135, 181]",0.04695304695304695,0.13053613053613053,True,False
UCD-0159289,-1,0.43343253968253964,"[23, 70, 117, 164]",0.18181818181818182,0.33227378681924136,False,False
UCD-0159290,-1,0.3611111111111111,"[33, 80, 127]",0.17782217782217782,0.33227378681924136,False,False
UCD-0159293,-1,0.6250859993120055,"[34, 81, 128, 174]",0.029970029970029972,0.11296395911780527,True,False
