Metadata_reference_index,Metadata_plate_barcode,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,n_pos_pairs,n_total_pairs,average_precision
1,localhost240926150001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,219,0.8055555555555555
2,localhost240926150001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,219,1.0
4,localhost240926150001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,219,1.0
5,localhost240926150001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,219,1.0
7,localhost240926150001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,217,1.0
9,localhost240926150001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,217,1.0
10,localhost240926150001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,217,1.0
11,localhost240926150001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,216,1.0
12,localhost240926150001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,216,1.0
13,localhost240926150001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,216,1.0
14,localhost240926150001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,216,1.0
15,localhost240926150001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,216,1.0
16,localhost240926150001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,216,0.40277777777777773
17,localhost240926150001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,216,1.0
18,localhost240926150001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,216,1.0
19,localhost240926150001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,216,0.5916666666666667
20,localhost240926150001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,216,0.5333333333333333
21,localhost240926150001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,216,1.0
22,localhost240926150001,D,8,19,failing,dilated_cardiomyopathy,UCD-0159264,Neuronal Signaling,D08,1,216,0.007874015748031496
23,localhost240926150001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,217,1.0
