Metadata_treatment,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
DMSO,0.3907697843719716,0.000999000999000999,0.0011892869035726179,True,True
UCD-0000450,0.8555555555555555,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001014,0.7312500000000001,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001016,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001024,0.20106404503920491,0.017982017982017984,0.01998001998001998,True,True
UCD-0001040,0.9791666666666666,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001613,0.13937759868257066,0.026973026973026972,0.028694709545773377,True,True
UCD-0001766,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001775,0.9666666666666667,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001783,0.03470588235294118,0.13286713286713286,0.13557870700727845,False,False
UCD-0001792,0.13333333333333333,0.04295704295704296,0.04474691974691975,True,True
UCD-0001801,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001804,0.8916666666666667,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001808,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001810,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001829,0.5171717171717171,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001835,0.49943589726965854,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001842,0.5631447674855383,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001844,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001915,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0001921,0.5290068597971244,0.000999000999000999,0.0011892869035726179,True,True
UCD-0017999,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0018091,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0018131,0.9791666666666666,0.000999000999000999,0.0011892869035726179,True,True
UCD-0018179,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0018207,0.9180555555555555,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159256,0.9180555555555555,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159257,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159258,0.6492063492063491,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159259,0.45321966146332515,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159261,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159262,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159263,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159264,0.008744700181708056,0.5414585414585414,0.5414585414585414,False,False
UCD-0159265,0.4676580897665623,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159269,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159270,0.6683166248955723,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159271,0.46837998905466405,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159273,0.7277777777777777,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159274,0.7240105908584169,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159275,0.44589828043775415,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159279,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159280,0.4619955638463419,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159283,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159284,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159285,1.0,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159286,0.24026310423167174,0.015984015984015984,0.01816365452729089,True,True
UCD-0159289,0.1586113172193294,0.01898101898101898,0.020631542370672804,True,True
UCD-0159290,0.6999999999999998,0.000999000999000999,0.0011892869035726179,True,True
UCD-0159293,0.27264972616028554,0.015984015984015984,0.01816365452729089,True,True
