Metadata_treatment,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
DMSO,0.38948633053734466,0.000999000999000999,0.0017224155155189638,True,True
UCD-0000450,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001014,0.9166666666666666,0.001998001998001998,0.003121878121878122,True,True
UCD-0001016,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001024,0.4765271765271765,0.03396603396603397,0.03691960213699344,True,True
UCD-0001040,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001613,0.2834889511360099,0.12087912087912088,0.12334604171338866,False,False
UCD-0001766,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001775,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001783,0.6,0.028971028971028972,0.03292162383071474,True,True
UCD-0001792,0.625,0.028971028971028972,0.03292162383071474,True,True
UCD-0001801,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001804,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001808,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001810,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001829,0.7999999999999999,0.002997002997002997,0.004162504162504163,True,True
UCD-0001835,0.8202614379084968,0.002997002997002997,0.004162504162504163,True,True
UCD-0001842,0.7256944444444445,0.004995004995004995,0.006572374993427625,True,True
UCD-0001844,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001915,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0001921,0.7419470439691027,0.003996003996003996,0.0054000054000054,True,True
UCD-0017999,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0018091,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0018131,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0018179,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0018207,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159256,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159257,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159258,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159259,0.701388888888889,0.005994005994005994,0.007684623069238453,True,True
UCD-0159261,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159262,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159263,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159264,0.05718954248366013,0.5194805194805194,0.5194805194805194,False,False
UCD-0159265,0.6137477106227106,0.008991008991008992,0.010703582132153562,True,True
UCD-0159269,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159270,0.9479166666666666,0.001998001998001998,0.003121878121878122,True,True
UCD-0159271,0.759952766531714,0.002997002997002997,0.004162504162504163,True,True
UCD-0159273,0.7614087301587301,0.002997002997002997,0.004162504162504163,True,True
UCD-0159274,0.9393939393939393,0.001998001998001998,0.003121878121878122,True,True
UCD-0159275,0.6222222222222222,0.008991008991008992,0.010703582132153562,True,True
UCD-0159279,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159280,0.6533459595959596,0.007992007992007992,0.00999000999000999,True,True
UCD-0159283,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159284,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159285,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159286,0.4858777870874645,0.03196803196803197,0.03552003552003552,True,True
UCD-0159289,0.303525641025641,0.1108891108891109,0.11550949050949053,False,False
UCD-0159290,1.0,0.000999000999000999,0.0017224155155189638,True,True
UCD-0159293,0.43449627857522594,0.05194805194805195,0.0552638850511191,False,False
