Metadata_reference_index,Metadata_plate_barcode,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,n_pos_pairs,n_total_pairs,average_precision
1,localhost240926150001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,219,0.5208333333333334
2,localhost240926150001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,219,0.18223344151941342
4,localhost240926150001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,219,0.14365079365079364
5,localhost240926150001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,219,1.0
7,localhost240926150001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,217,0.34281541399842713
9,localhost240926150001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,217,0.5166666666666667
10,localhost240926150001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,217,0.3689814814814815
11,localhost240926150001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,216,0.01908045977011494
12,localhost240926150001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,216,0.01716986851142036
13,localhost240926150001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,216,0.05401234567901234
14,localhost240926150001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,216,0.05955032621699288
15,localhost240926150001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,216,0.013088966347811787
16,localhost240926150001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,216,0.011443213649096002
17,localhost240926150001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,216,0.021640914430288243
18,localhost240926150001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,216,0.02262108262108262
19,localhost240926150001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,216,0.02878602878602879
20,localhost240926150001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,216,0.023725073553448838
21,localhost240926150001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,216,0.0631011091585889
22,localhost240926150001,D,8,19,failing,dilated_cardiomyopathy,UCD-0159264,Neuronal Signaling,D08,1,216,0.005847953216374269
23,localhost240926150001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,217,0.09850179211469534
24,localhost240926150001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,217,0.12440639751990418
25,localhost240926150001,D,11,19,failing,dilated_cardiomyopathy,UCD-0001792,Others,D11,1,217,0.021739130434782608
27,localhost240926150001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,218,0.1110115491835922
28,localhost240926150001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,218,0.031739094888774924
30,localhost240926150001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,218,0.025337261341318137
31,localhost240926150001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,218,0.37313803376365445
33,localhost240926150001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,218,0.01974262630375834
34,localhost240926150001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,218,0.03465787494938979
36,localhost240926150001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,218,0.5625978090766823
37,localhost240926150001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,218,0.1169828364950316
38,localhost240926150001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,218,0.45169082125603865
39,localhost240926150001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,218,0.6388888888888888
40,localhost240926150001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,218,0.07643071214499786
41,localhost240926150001,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,2,218,0.05641025641025641
42,localhost240926150001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,219,0.2676190476190476
43,localhost240926150001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,219,0.5
44,localhost240926150001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,219,0.3432523861302404
45,localhost240926150001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,219,0.6717171717171717
46,localhost240926150001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,219,0.023722600151171575
47,localhost240926150001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,219,0.03187798751341333
48,localhost240926150001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,219,0.2611111111111111
49,localhost240926150001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,219,0.23111111111111113
50,localhost240926150001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,219,0.18068158903004639
51,localhost240926150001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,219,0.3
52,localhost240926150001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,219,0.49999999999999994
53,localhost240926150001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,219,0.5121951219512195
54,localhost240926150001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,219,1.0
1,localhost240927060001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,219,0.31369863013698635
2,localhost240927060001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,219,0.05728580362726704
4,localhost240927060001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,219,0.38610702012763864
5,localhost240927060001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,219,1.0
7,localhost240927060001,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,1,217,1.0
8,localhost240927060001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,217,0.018189126137425227
10,localhost240927060001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,217,0.4305555555555555
11,localhost240927060001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,217,0.18376439904368616
12,localhost240927060001,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,1,216,0.008130081300813009
13,localhost240927060001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,216,0.021857648330546996
14,localhost240927060001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,216,0.017922119328145154
15,localhost240927060001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,216,0.06252543752543753
16,localhost240927060001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,216,0.019119908325001902
17,localhost240927060001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,216,0.0653917402201155
18,localhost240927060001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,216,0.013692662168920143
19,localhost240927060001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,216,0.012035169334956719
20,localhost240927060001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,216,0.02134530788260321
21,localhost240927060001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,217,0.35543575920934406
