Metadata_treatment,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
UCD-0000450,0.019627931082319968,0.6633366633366633,0.6915637553935426,False,False
UCD-0001014,0.1908658300587287,0.011988011988011988,0.03962703962703963,True,True
UCD-0001016,0.19813592635417013,0.015984015984015984,0.03962703962703963,True,True
UCD-0001024,0.2871617965367965,0.014985014985014986,0.03962703962703963,True,True
UCD-0001040,0.3186690610171086,0.014985014985014986,0.03962703962703963,True,True
UCD-0001613,0.5247204184704184,0.000999000999000999,0.006118881118881119,True,True
UCD-0001766,0.1120194966136972,0.03996003996003996,0.06751868820834338,True,False
UCD-0001775,0.05838882970872218,0.1258741258741259,0.17132867132867133,False,False
UCD-0001783,1.0,0.000999000999000999,0.006118881118881119,True,True
UCD-0001792,0.01429422275163788,0.30569430569430567,0.3653419750980726,False,False
UCD-0001801,0.25245556273226083,0.015984015984015984,0.03962703962703963,True,True
UCD-0001804,0.04934496763453657,0.16283716283716285,0.2156492156492157,False,False
UCD-0001808,0.39256854256854257,0.002997002997002997,0.014685314685314685,True,True
UCD-0001810,0.03591248011405677,0.27672327672327673,0.3476779630625785,False,False
UCD-0001829,0.4746031746031746,0.000999000999000999,0.006118881118881119,True,True
UCD-0001835,0.1188868402909975,0.03796203796203796,0.06643356643356643,True,False
UCD-0001842,1.0,0.000999000999000999,0.006118881118881119,True,True
UCD-0001844,0.35782210157512034,0.000999000999000999,0.006118881118881119,True,True
UCD-0001915,1.0,0.000999000999000999,0.006118881118881119,True,True
UCD-0001921,0.11163739266083812,0.03796203796203796,0.06643356643356643,True,False
UCD-0017999,0.023783186761596617,0.5174825174825175,0.5762873490146218,False,False
UCD-0018091,0.009746858832224686,0.4905094905094905,0.558952675231745,False,False
UCD-0018131,0.20106404503920491,0.017982017982017984,0.04005085823267642,True,True
UCD-0018179,0.02480451428560095,0.4875124875124875,0.558952675231745,False,False
UCD-0018207,0.03442568561628107,0.29270729270729273,0.3585664335664336,False,False
UCD-0159256,0.31347642381353086,0.014985014985014986,0.03962703962703963,True,True
UCD-0159257,0.021151968969757642,0.6073926073926074,0.6470051687442991,False,False
UCD-0159258,0.023264242353860706,0.5394605394605395,0.5874125874125875,False,False
UCD-0159259,0.49943589726965854,0.000999000999000999,0.006118881118881119,True,True
UCD-0159261,0.06616022933532939,0.1068931068931069,0.15405183052241878,False,False
UCD-0159262,0.24063831359701066,0.015984015984015984,0.03962703962703963,True,True
UCD-0159263,0.19561289279317406,0.00999000999000999,0.03962703962703963,True,True
UCD-0159264,0.006108689983983313,0.7602397602397603,0.7760780885780886,False,False
UCD-0159265,0.43682084493246076,0.000999000999000999,0.006118881118881119,True,True
UCD-0159269,0.04811982515422739,0.1798201798201798,0.2318733897681266,False,False
UCD-0159270,0.23797570906892812,0.014985014985014986,0.03962703962703963,True,True
UCD-0159271,0.07772031924695186,0.07192807192807193,0.11369275885404918,False,False
UCD-0159273,0.01640229209220105,0.8221778221778222,0.8221778221778222,False,False
UCD-0159274,0.08415857489827235,0.06393606393606394,0.10442890442890443,False,False
UCD-0159275,0.17730138713171587,0.016983016983016984,0.03962703962703963,True,True
UCD-0159279,0.1864096813168114,0.023976023976023976,0.05099067599067599,True,False
UCD-0159280,0.23600172975172973,0.016983016983016984,0.03962703962703963,True,True
UCD-0159283,0.46944112174375335,0.001998001998001998,0.010878010878010878,True,True
UCD-0159284,0.1387647849975661,0.028971028971028972,0.054599246906939215,True,False
UCD-0159285,0.06943260477600229,0.08891108891108891,0.1361451048951049,False,False
UCD-0159286,0.13010250224120656,0.028971028971028972,0.054599246906939215,True,False
UCD-0159289,0.059438437265230626,0.11488511488511488,0.16083916083916083,False,False
UCD-0159290,0.06357097009270922,0.0979020979020979,0.1453697817334181,False,False
UCD-0159293,0.17640382765382764,0.024975024975024976,0.05099067599067599,True,False
