Metadata_treatment,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
UCD-0000450,0.11974631423644581,0.5324675324675324,0.5551257253384912,False,False
UCD-0001014,0.2879840067340067,0.11688311688311688,0.2006993006993007,False,False
UCD-0001016,0.3122981735513705,0.10589410589410589,0.2006993006993007,False,False
UCD-0001024,0.9458333333333333,0.001998001998001998,0.01958041958041958,True,True
UCD-0001040,0.4599647793726741,0.04095904095904096,0.11149961149961149,True,False
UCD-0001613,0.8694444444444445,0.002997002997002997,0.02097902097902098,True,True
UCD-0001766,0.229366150418782,0.1838161838161838,0.2501942501942502,False,False
UCD-0001775,0.281011396011396,0.12287712287712288,0.2006993006993007,False,False
UCD-0001783,1.0,0.000999000999000999,0.012237762237762238,True,True
UCD-0001792,0.1488095238095238,0.17382617382617382,0.24335664335664334,False,False
UCD-0001801,0.4286518930197091,0.054945054945054944,0.12820512820512822,False,False
UCD-0001804,0.289781746031746,0.11488511488511488,0.2006993006993007,False,False
UCD-0001808,0.8972222222222221,0.002997002997002997,0.02097902097902098,True,True
UCD-0001810,0.1985390861748364,0.23776223776223776,0.2973776223776224,False,False
UCD-0001829,1.0,0.000999000999000999,0.012237762237762238,True,True
UCD-0001835,0.4424390968508616,0.04795204795204795,0.11748251748251748,True,False
UCD-0001842,1.0,0.000999000999000999,0.012237762237762238,True,True
UCD-0001844,0.5474504324276129,0.02097902097902098,0.07342657342657344,True,False
UCD-0001915,1.0,0.000999000999000999,0.012237762237762238,True,True
UCD-0001921,0.19709013647818202,0.24275724275724275,0.2973776223776224,False,False
UCD-0017999,0.12548166548650294,0.5054945054945055,0.5551257253384912,False,False
UCD-0018091,0.058333333333333334,0.5194805194805194,0.5551257253384912,False,False
UCD-0018131,0.687797619047619,0.006993006993006993,0.03560076287349015,True,True
UCD-0018179,0.162476880676527,0.3516483516483517,0.4102564102564103,False,False
UCD-0018207,0.18656538832281577,0.2707292707292707,0.3235544942862016,False,False
UCD-0159256,0.5830565268065269,0.013986013986013986,0.05710955710955711,True,False
UCD-0159257,0.12796953462201138,0.4905094905094905,0.5551257253384912,False,False
UCD-0159258,0.12106006065371389,0.5274725274725275,0.5551257253384912,False,False
UCD-0159259,0.6777412280701754,0.007992007992007992,0.03560076287349015,True,True
UCD-0159261,0.33100999490705374,0.0999000999000999,0.2006993006993007,False,False
UCD-0159262,0.49600773770930146,0.030969030969030968,0.08926367749897161,True,False
UCD-0159263,0.2785111013284388,0.12287712287712288,0.2006993006993007,False,False
UCD-0159264,0.03708791208791209,0.7902097902097902,0.7902097902097902,False,False
UCD-0159265,0.5396658113391983,0.022977022977022976,0.07505827505827506,True,False
UCD-0159269,0.2687695652025987,0.13486513486513488,0.21263111888111888,False,False
UCD-0159270,0.418030798177857,0.06593406593406594,0.14685314685314685,False,False
UCD-0159271,0.24776602287945299,0.16083916083916083,0.23179761415055533,False,False
UCD-0159273,0.11255631283204813,0.5774225774225774,0.5894522144522144,False,False
UCD-0159274,0.20978605390853844,0.22077922077922077,0.284688995215311,False,False
UCD-0159275,0.44597767470050076,0.04795204795204795,0.11748251748251748,True,False
UCD-0159279,0.2644133582700945,0.13886113886113885,0.21263111888111888,False,False
UCD-0159280,0.6576388888888889,0.007992007992007992,0.03560076287349015,True,True
UCD-0159283,0.6467261904761905,0.007992007992007992,0.03560076287349015,True,True
UCD-0159284,0.2522990887848344,0.15484515484515485,0.22992159355795722,False,False
UCD-0159285,0.30333832833832836,0.1108891108891109,0.2006993006993007,False,False
UCD-0159286,0.5090367965367965,0.027972027972027972,0.08566433566433568,True,False
UCD-0159289,0.21799693362193362,0.20679320679320679,0.27386127386127385,False,False
UCD-0159290,0.3183022774327122,0.07492507492507493,0.15962298570994224,False,False
UCD-0159293,0.5470548433048433,0.02097902097902098,0.07342657342657344,True,False
