original_index,Metadata_plate_barcode,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_treatment_type,Metadata_control_type,Metadata_targeted,Metadata_reference_index,n_pos_pairs,n_total_pairs,average_precision
0,localhost240926150001,B,2,7,healthy,,DMSO,,B02,control,positive,True,-1,7,7,1.0
3,localhost240926150001,B,5,7,healthy,,DMSO,,B05,control,positive,True,-1,7,7,1.0
6,localhost240926150001,B,8,7,healthy,,DMSO,,B08,control,positive,True,-1,7,7,1.0
8,localhost240926150001,B,11,7,healthy,,DMSO,,B11,control,positive,True,-1,7,7,1.0
26,localhost240926150001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,negative,True,4,7,31,0.26447776361569464
29,localhost240926150001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,negative,True,5,7,31,0.3230148423005566
32,localhost240926150001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,negative,True,6,7,31,0.3175518925518926
35,localhost240926150001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,negative,True,7,7,31,0.4561224489795918
0,localhost240927060001,B,2,7,healthy,,DMSO,,B02,control,positive,False,-1,23,27,0.9355187613371756
3,localhost240927060001,B,5,7,healthy,,DMSO,,B05,control,positive,False,-1,23,27,0.9238082129064004
6,localhost240927060001,B,8,7,healthy,,DMSO,,B08,control,positive,False,-1,23,27,0.9414690753333674
9,localhost240927060001,B,11,7,healthy,,DMSO,,B11,control,positive,False,-1,23,27,0.8278226653106091
26,localhost240927060001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,negative,False,-1,23,27,0.7842603612001008
29,localhost240927060001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,negative,False,-1,23,27,0.936786037828969
32,localhost240927060001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,negative,False,-1,23,27,0.7821087447006583
35,localhost240927060001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,negative,False,-1,23,27,0.9481097979839838
0,localhost240927120001,B,2,7,healthy,,DMSO,,B02,control,positive,False,-1,23,27,0.9341373002949843
3,localhost240927120001,B,5,7,healthy,,DMSO,,B05,control,positive,False,-1,23,27,0.936786037828969
6,localhost240927120001,B,8,7,healthy,,DMSO,,B08,control,positive,False,-1,23,27,0.9391265125993892
8,localhost240927120001,B,11,7,healthy,,DMSO,,B11,control,positive,False,-1,23,27,0.9050772851490075
26,localhost240927120001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,negative,False,-1,23,27,0.7752334460862292
29,localhost240927120001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,negative,False,-1,23,27,0.9294547402920582
32,localhost240927120001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,negative,False,-1,23,27,0.8064458537164062
35,localhost240927120001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,negative,False,-1,23,27,0.9364224103032066
0,localhost240928120001,B,2,7,healthy,,DMSO,,B02,control,positive,False,-1,23,27,0.9471401528380935
3,localhost240928120001,B,5,7,healthy,,DMSO,,B05,control,positive,False,-1,23,27,0.815883142605491
6,localhost240928120001,B,8,7,healthy,,DMSO,,B08,control,positive,False,-1,23,27,0.9415156591842992
9,localhost240928120001,B,11,7,healthy,,DMSO,,B11,control,positive,False,-1,23,27,0.9415242108091079
27,localhost240928120001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,negative,False,-1,23,27,0.9366494384485133
30,localhost240928120001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,negative,False,-1,23,27,0.8622206557026475
33,localhost240928120001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,negative,False,-1,23,27,0.8994272980600213
36,localhost240928120001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,negative,False,-1,23,27,0.8553490214494971
