Metadata_cluster_family,Metadata_cluster_label,Single_Cell_Count,Cluster_label
DMSO-failing,-1,4431,0
DMSO-failing,0,234,1
DMSO-failing,1,22,1
DMSO-failing,2,10,1
DMSO-failing,3,25,1
DMSO-failing,4,110,1
DMSO-failing,5,41,1
DMSO-failing,6,12,1
DMSO-failing,7,9,1
DMSO-failing,8,11,1
DMSO-failing,9,10,1
DMSO-healthy,-1,1570,0
DMSO-healthy,0,121,1
DMSO-healthy,1,10,1
DMSO-healthy,2,7,1
DMSO-healthy,3,12,1
UCD-0000450,-1,1207,0
UCD-0000450,0,10,1
UCD-0000721,-1,1,0
UCD-0001014,-1,1358,0
UCD-0001016,-1,1432,0
UCD-0001016,0,16,1
UCD-0001024,-1,1378,0
UCD-0001040,-1,1027,0
UCD-0001040,0,10,1
UCD-0001040,1,44,1
UCD-0001040,2,12,1
UCD-0001613,-1,1152,0
UCD-0001613,0,15,1
UCD-0001613,1,15,1
UCD-0001766,-1,400,0
UCD-0001766,0,308,1
UCD-0001775,-1,1281,0
UCD-0001775,0,22,1
UCD-0001783,-1,3,0
UCD-0001792,-1,2,0
UCD-0001801,-1,590,0
UCD-0001801,0,51,1
UCD-0001804,-1,898,0
UCD-0001804,0,25,1
UCD-0001804,1,22,1
UCD-0001808,-1,593,0
UCD-0001808,0,35,1
UCD-0001810,-1,649,0
UCD-0001810,0,35,1
UCD-0001810,1,23,1
UCD-0001829,-1,1256,0
UCD-0001829,0,19,1
UCD-0001829,1,25,1
UCD-0001829,2,11,1
UCD-0001835,-1,913,0
UCD-0001835,0,253,1
UCD-0001835,1,12,1
UCD-0001835,2,12,1
UCD-0001842,-1,1243,0
UCD-0001842,0,11,1
UCD-0001842,1,84,1
UCD-0001842,2,16,1
UCD-0001842,3,11,1
UCD-0001842,4,12,1
UCD-0001844,-1,3,0
UCD-0001844,0,131,1
UCD-0001915,-1,439,0
UCD-0001915,0,252,1
UCD-0001915,1,17,1
UCD-0001915,2,10,1
UCD-0001921,-1,776,0
UCD-0001921,0,198,1
UCD-0017999,-1,1375,0
UCD-0017999,0,10,1
UCD-0017999,1,31,1
UCD-0017999,2,8,1
UCD-0017999,3,10,1
UCD-0018091,-1,2,0
UCD-0018131,-1,797,0
UCD-0018131,0,622,1
UCD-0018131,1,44,1
UCD-0018131,2,18,1
UCD-0018131,3,29,1
UCD-0018131,4,10,1
UCD-0018179,-1,56,0
UCD-0018179,0,327,1
UCD-0018207,-1,1012,0
UCD-0018207,0,56,1
UCD-0018207,1,17,1
UCD-0018207,2,27,1
UCD-0159256,-1,725,0
UCD-0159256,0,30,1
UCD-0159256,1,47,1
UCD-0159256,2,31,1
UCD-0159257,-1,1395,0
UCD-0159257,0,20,1
UCD-0159257,1,46,1
UCD-0159257,2,10,1
UCD-0159257,3,10,1
UCD-0159257,4,10,1
UCD-0159258,-1,1004,0
UCD-0159258,0,31,1
UCD-0159258,1,44,1
UCD-0159258,2,12,1
UCD-0159258,3,10,1
UCD-0159259,-1,832,0
UCD-0159259,0,15,1
UCD-0159259,1,30,1
UCD-0159259,2,282,1
UCD-0159261,-1,431,0
UCD-0159261,0,716,1
UCD-0159262,-1,102,0
UCD-0159262,0,258,1
UCD-0159263,-1,994,0
UCD-0159263,0,126,1
UCD-0159263,1,41,1
UCD-0159263,2,10,1
UCD-0159263,3,18,1
UCD-0159264,-1,3,0
UCD-0159265,-1,1524,0
UCD-0159265,0,10,1
UCD-0159265,1,11,1
UCD-0159265,2,14,1
UCD-0159265,3,20,1
UCD-0159269,-1,978,0
UCD-0159269,0,298,1
UCD-0159269,1,21,1
UCD-0159270,-1,1268,0
UCD-0159270,0,33,1
UCD-0159270,1,30,1
UCD-0159271,-1,913,0
UCD-0159271,0,296,1
UCD-0159273,-1,1184,0
UCD-0159273,0,12,1
UCD-0159274,-1,1314,0
UCD-0159274,0,235,1
UCD-0159274,1,8,1
UCD-0159274,2,9,1
UCD-0159275,-1,1292,0
UCD-0159275,0,18,1
UCD-0159275,1,17,1
UCD-0159275,2,10,1
UCD-0159279,-1,196,0
UCD-0159279,0,160,1
UCD-0159280,-1,1312,0
UCD-0159280,0,10,1
UCD-0159280,1,10,1
UCD-0159280,2,10,1
UCD-0159283,-1,1246,0
UCD-0159283,0,88,1
UCD-0159283,1,12,1
UCD-0159283,2,7,1
UCD-0159284,-1,1388,0
UCD-0159284,0,30,1
UCD-0159284,1,29,1
UCD-0159284,2,20,1
UCD-0159284,3,10,1
UCD-0159284,4,9,1
UCD-0159285,-1,1438,0
UCD-0159285,0,24,1
UCD-0159285,1,10,1
UCD-0159285,2,15,1
UCD-0159286,-1,153,0
UCD-0159286,0,18,1
UCD-0159289,-1,1191,0
UCD-0159289,0,19,1
UCD-0159290,-1,11,0
UCD-0159293,-1,765,0
UCD-0159293,0,211,1
UCD-0159293,1,16,1
