treatment_name,target_cluster,treated_cluster,off_kl_divergence,on_kl_divergence,combined_score
DMSO-failing,3,9,0.008007405762068183,0.002407158275527592,0.0052072820187978874
DMSO-failing,3,0,0.0036916701400158975,0.004033542121652353,0.0038626061308341254
DMSO-failing,3,7,0.0159034330883068,0.010059067106203527,0.012981250097255164
DMSO-failing,3,5,0.004956568177369174,0.003687219069986858,0.004321893623678016
DMSO-failing,3,4,0.03527777101868239,0.015931518134123128,0.025604644576402758
DMSO-failing,3,2,0.015997919754849543,0.012371360692104642,0.014184640223477093
DMSO-failing,3,1,0.039487392454587204,0.02231044008256845,0.030898916268577825
DMSO-failing,3,6,0.030346376912001722,0.016622435738827115,0.023484406325414417
DMSO-failing,3,8,0.005097877136036004,0.0028804161565548934,0.003989146646295448
DMSO-failing,3,3,0.0028726960201198278,0.001789877150038321,0.0023312865850790743
DMSO-failing,0,9,0.007978579008230333,0.001990354076939442,0.0049844665425848875
DMSO-failing,0,0,0.002098036624985678,0.0008053000627078139,0.001451668343846746
DMSO-failing,0,7,0.009535444780306854,0.0062055487503785926,0.007870496765342724
DMSO-failing,0,5,0.010687753533952233,0.003944536782453845,0.007316145158203039
DMSO-failing,0,4,0.011192385917734245,0.0020406895017935286,0.006616537709763887
DMSO-failing,0,2,0.01125628020615426,0.00526571826688851,0.008260999236521386
DMSO-failing,0,1,0.012321491950744147,0.004097587892657723,0.008209539921700934
DMSO-failing,0,6,0.007312377299366462,0.0023509837730704805,0.004831680536218471
DMSO-failing,0,8,0.010179306414375248,0.002476544860334747,0.006327925637354998
DMSO-failing,0,3,0.0028941199247455203,0.0008374123296168085,0.0018657661271811645
DMSO-failing,2,9,0.00760837381033554,0.0020906470187884154,0.004849510414561978
DMSO-failing,2,0,0.0049619227965552746,0.002906264668894427,0.003934093732724851
DMSO-failing,2,7,0.016678227718975914,0.007381834361060513,0.012030031040018214
DMSO-failing,2,5,0.017408335957371762,0.0075510725546261235,0.012479704255998942
DMSO-failing,2,4,0.020265100896763907,0.004382151574228315,0.012323626235496111
DMSO-failing,2,2,0.015555617600277134,0.0067313611678049,0.011143489384041017
DMSO-failing,2,1,0.02135817266450142,0.008820632802078406,0.015089402733289913
DMSO-failing,2,6,0.04383084230863535,0.01768807463958936,0.030759458474112353
DMSO-failing,2,8,0.010029447433725167,0.0034221975280422944,0.006725822480883731
DMSO-failing,2,3,0.0025269814026431543,0.0009332121966192028,0.0017300967996311785
DMSO-failing,1,9,0.006782218669136253,0.0020217405617130218,0.004401979615424637
DMSO-failing,1,0,0.004669935149192754,0.003837028395767353,0.004253481772480054
DMSO-failing,1,7,0.016567152958163696,0.010659606262241248,0.013613379610202472
DMSO-failing,1,5,0.014978814970272784,0.010710926986375977,0.012844870978324381
DMSO-failing,1,4,0.011733279734242565,0.004608905055992838,0.008171092395117702
DMSO-failing,1,2,0.006196388075471755,0.005982252906913703,0.006089320491192729
DMSO-failing,1,1,0.011475881370834466,0.0031651274783946613,0.007320504424614563
DMSO-failing,1,6,0.020869330887530773,0.013506668063325351,0.01718799947542806
DMSO-failing,1,8,0.01218865202522994,0.00675184474889229,0.009470248387061115
DMSO-failing,1,3,0.0020300374420167493,0.0012159415372324904,0.00162298948962462
UCD-0000450,3,0,0.007600160036910077,0.00933983355387437,0.008469996795392225
UCD-0000450,0,0,0.007079664649047538,0.00500655792042169,0.006043111284734615
UCD-0000450,2,0,0.010724404324581951,0.009164344547005305,0.00994437443579363
UCD-0000450,1,0,0.010350435054648957,0.010042744827941947,0.010196589941295452
UCD-0001016,3,0,0.009152242789724832,0.007711305739568609,0.00843177426464672
UCD-0001016,0,0,0.0109926230057271,0.0046937743054144,0.00784319865557075
UCD-0001016,2,0,0.007130418693537418,0.0020666957918676586,0.004598557242702538
UCD-0001016,1,0,0.0027768445837144857,0.0013020966747663196,0.0020394706292404027
UCD-0001040,3,0,0.03416297269840034,0.02243668281150976,0.02829982775495505
UCD-0001040,3,2,0.003884905269005131,0.003961631840130489,0.00392326855456781
UCD-0001040,3,1,0.03643972432323765,0.016315054009271922,0.02637738916625479
UCD-0001040,0,0,0.0037396521491284006,0.001892984017884551,0.002816318083506476
UCD-0001040,0,2,0.011253174369817773,0.005290561860670433,0.008271868115244104
UCD-0001040,0,1,0.01008585560453067,0.002187769034565297,0.006136812319547984
UCD-0001040,2,0,0.018718492025130002,0.006860163474158161,0.012789327749644083
UCD-0001040,2,2,0.016670307059995254,0.007472874411705921,0.012071590735850587
UCD-0001040,2,1,0.01534756333544177,0.007307335993175474,0.011327449664308622
UCD-0001040,1,0,0.01261038839950471,0.005637778811798425,0.009124083605651569
UCD-0001040,1,2,0.019499209723803257,0.012804129068259234,0.016151669396031246
UCD-0001040,1,1,0.012300280218452383,0.005219399107236377,0.00875983966284438
UCD-0001613,3,0,0.01827202810269043,0.022893686649471646,0.020582857376081037
UCD-0001613,3,1,0.007020023456541276,0.006998972801836208,0.0070094981291887425
UCD-0001613,0,0,0.013569438973821872,0.015608330263245644,0.014588884618533759
UCD-0001613,0,1,0.006225552439995081,0.0038359222826149218,0.005030737361305001
UCD-0001613,2,0,0.019706650321314422,0.020681070594263898,0.02019386045778916
UCD-0001613,2,1,0.008571761491611181,0.006990520003412319,0.00778114074751175
UCD-0001613,1,0,0.019319503535547875,0.02223117818594721,0.020775340860747542
UCD-0001613,1,1,0.008873125559838217,0.008311163503365296,0.008592144531601755
UCD-0001766,3,0,0.0013820846424150842,0.0013640900210875806,0.0013730873317513324
UCD-0001766,0,0,0.001471294134040904,0.0003773370960631667,0.0009243156150520353
UCD-0001766,2,0,0.0021901428617579375,0.0007845096641374886,0.001487326262947713
UCD-0001766,1,0,0.0018836806955187708,0.0011026038579735374,0.001493142276746154
UCD-0001775,3,0,0.011889465643961029,0.012695067716046168,0.012292266680003598
UCD-0001775,0,0,0.008203799734235882,0.008066127806484344,0.008134963770360113
UCD-0001775,2,0,0.013625902426235029,0.010759639333766837,0.012192770880000932
UCD-0001775,1,0,0.0142505053406887,0.011909748436013768,0.013080126888351234
UCD-0001801,3,0,0.012919603418503295,0.009057462144620573,0.010988532781561934
UCD-0001801,0,0,0.012413088413976743,0.005001767669428029,0.008707428041702386
UCD-0001801,2,0,0.00898221625689984,0.003262424119278681,0.00612232018808926
UCD-0001801,1,0,0.00926193529672092,0.0040446674612328645,0.006653301378976892
UCD-0001804,3,0,0.011314862824580108,0.011829663026676191,0.01157226292562815
UCD-0001804,3,1,0.009891759077750945,0.009068014733147337,0.009479886905449141
UCD-0001804,0,0,0.0080163765279009,0.007450592355586622,0.007733484441743761
UCD-0001804,0,1,0.008277043292274022,0.0038496418266151054,0.006063342559444564
UCD-0001804,2,0,0.013577778783058046,0.010052939209329632,0.011815358996193839
UCD-0001804,2,1,0.011386052338979335,0.008513123445277137,0.009949587892128235
UCD-0001804,1,0,0.013039971573854878,0.011254485428764378,0.012147228501309629
