original_index,Metadata_plate_barcode,Metadata_plate_index,Metadata_control_type,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_treatment_type,Metadata_targeted,Metadata_reference_index,Metadata_reference_control_type,n_pos_pairs,n_total_pairs,average_precision
0,localhost240927060001,1,positive,B,2,7,healthy,,DMSO,,B02,control,True,-1,negative,7,7,1.0
3,localhost240927060001,1,positive,B,5,7,healthy,,DMSO,,B05,control,True,-1,negative,7,7,1.0
6,localhost240927060001,1,positive,B,8,7,healthy,,DMSO,,B08,control,True,-1,negative,7,7,1.0
9,localhost240927060001,1,positive,B,11,7,healthy,,DMSO,,B11,control,True,-1,negative,7,7,1.0
26,localhost240927060001,1,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,True,4,negative,7,31,0.265408975261192
29,localhost240927060001,1,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,True,5,negative,7,31,0.22375283446712022
32,localhost240927060001,1,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,True,6,negative,7,31,0.3302869544248855
35,localhost240927060001,1,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,True,7,negative,7,31,0.21198145040509572
55,localhost240928120001,2,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.8974310876162316
58,localhost240928120001,2,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.9383674903947395
61,localhost240928120001,2,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.8880441467277428
64,localhost240928120001,2,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8974535397755798
82,localhost240928120001,2,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7333860074216024
85,localhost240928120001,2,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.7452918551970155
88,localhost240928120001,2,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.7756121387781686
91,localhost240928120001,2,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.7709399993234204
110,localhost240926150001,3,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.7411639782430514
113,localhost240926150001,3,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.772696334775408
116,localhost240926150001,3,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.8136057876413826
118,localhost240926150001,3,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8497468205215458
136,localhost240926150001,3,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7607669598025548
139,localhost240926150001,3,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.7504913658313086
142,localhost240926150001,3,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.7744044093095696
145,localhost240926150001,3,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.7746478856400023
165,localhost240927120001,4,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.9035701176683052
168,localhost240927120001,4,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.9193528094235369
171,localhost240927120001,4,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.912758796953902
173,localhost240927120001,4,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.901889753680708
191,localhost240927120001,4,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7632195796464789
194,localhost240927120001,4,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.747637215151071
197,localhost240927120001,4,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.7966046728141807
200,localhost240927120001,4,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.7912436087574646
0,localhost240927060001,1,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.9191241707105801
3,localhost240927060001,1,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.8603074510562645
6,localhost240927060001,1,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.9298449494233496
9,localhost240927060001,1,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8772270697409256
26,localhost240927060001,1,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7525382320086095
29,localhost240927060001,1,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.7658405094413218
32,localhost240927060001,1,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.7456530881669439
35,localhost240927060001,1,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.7398559867176686
55,localhost240928120001,2,positive,B,2,7,healthy,,DMSO,,B02,control,True,-1,negative,7,7,1.0
58,localhost240928120001,2,positive,B,5,7,healthy,,DMSO,,B05,control,True,-1,negative,7,7,1.0
61,localhost240928120001,2,positive,B,8,7,healthy,,DMSO,,B08,control,True,-1,negative,7,7,1.0
64,localhost240928120001,2,positive,B,11,7,healthy,,DMSO,,B11,control,True,-1,negative,7,7,1.0
82,localhost240928120001,2,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,True,12,negative,7,31,0.24381033580540973
85,localhost240928120001,2,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,True,13,negative,7,31,0.34509627300651147
88,localhost240928120001,2,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,True,14,negative,7,31,0.38121149204098514
91,localhost240928120001,2,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,True,15,negative,7,31,0.22919684002633312
110,localhost240926150001,3,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.8144947537477398
113,localhost240926150001,3,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.7737507151776144
116,localhost240926150001,3,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.7640994968307439
118,localhost240926150001,3,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8581208136781476
136,localhost240926150001,3,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.780774367853441
139,localhost240926150001,3,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.7633469884695399
142,localhost240926150001,3,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.7505185125975858
145,localhost240926150001,3,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.800052674088269
165,localhost240927120001,4,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.8686766548413473
