Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
DMSO,,DMSO,L2000-01,A01,L2000-01,B02,,,,,
S1001,UCD-0159256,Navitoclax (ABT-263),L2000-01,A02,L2000-01,B03,974.61,923564-51-6,Bcl-2,"ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL, Bcl-2 and Bcl-w with Ki of ≤ 0.5 nM, ≤1 nM and ≤1 nM, but binds more weakly to Mcl-1 and A1. Phase 1/2.",Apoptosis
S1033,UCD-0001766,Nilotinib (AMN-107),L2000-01,A03,L2000-01,B04,529.52,641571-10-0,Bcr-Abl,Nilotinib (AMN-107) is a Bcr-Abl inhibitor with IC50 less than 30 nM.,Angiogenesis
DMSO,,DMSO,L2000-01,B01,L2000-01,B05,,,,,
S1069,UCD-0159262,"Luminespib (AUY-922, NVP-AUY922)",L2000-01,A04,L2000-01,B06,465.54,747412-49-3,HSP (e.g. HSP90),"AUY922 (NVP-AUY922) is a highly potent HSP90 inhibitor for HSP90α/β with IC50 of 13 nM /21 nM, weaker potency against the HSP90 family members GRP94 and TRAP-1, exhibits the tightest binding of any small-molecule HSP90 ligand. Phase 1/2.",Others
S1092,UCD-0001915,KU-55933 (ATM Kinase Inhibitor),L2000-01,A05,L2000-01,B07,395.49,587871-26-9,ATM/ATR,"KU-55933 is a potent and specific ATM inhibitor with IC50/Ki of 12.9 nM/2.2 nM, and is highly selective for ATM as compared to DNA-PK, PI3K/PI4K, ATR and mTOR.",Others
DMSO,,DMSO,L2000-01,C01,L2000-01,B08,,,,,
S1109,UCD-0001783,BI 2536,L2000-01,A06,L2000-01,B09,521.66,755038-02-9,PLK,BI2536 is a potent Plk1 inhibitor with IC50 of 0.83 nM. It shows 4- and 11-fold greater selectivity against Plk2 and Plk3. Phase 2.,Others
S1141,UCD-0159279,Tanespimycin (17-AAG),L2000-01,A07,L2000-01,B10,585.69,75747-14-7,HSP (e.g. HSP90),"17-AAG is a potent HSP90 inhibitor with IC50 of 5 nM, having a 100-fold higher binding affinity for HSP90 derived from tumour cells than HSP90 from normal cells.",Others
DMSO,,DMSO,L2000-01,D01,L2000-01,B11,,,,,
S1174,UCD-0159283,MK-2866 (GTx-024),L2000-01,A08,L2000-01,C02,389.33,841205-47-8,Androgen Receptor,"MK-2866 (GTx-024) is a selective androgen receptor modulator (SARM) with Ki of 3.8 nM, and is tissue-selective for anabolic organs. Phase 3.",Endocrinology & Hormones
S1197,UCD-0001040,Finasteride,L2000-01,A09,L2000-01,C03,372.54,98319-26-7,5-alpha Reductase,Finasteride is an inhibitor of steroid Type II 5α-reductase.,Endocrinology & Hormones
S1260,UCD-0018091,Cinacalcet HCl,L2000-01,A10,L2000-01,C04,393.87,364782-34-3,CaSR,AMG-073 represents a new class of compounds for the treatment of hyperparathyroidism.,GPCR & G Protein
S1328,UCD-0000450,Etodolac ,L2000-01,A11,L2000-01,C05,287.35,41340-25-4,COX,Etodolac (Lodine) is a COX inhibitor with an IC50 of 53.5 nM.,Neuronal Signaling
S1004,UCD-0159257,Veliparib (ABT-888),L2000-01,B02,L2000-01,C06,244.29,912444-00-9,PARP,"Veliparib (ABT-888) is a potent inhibitor of PARP1 and PARP2 with Ki of 5.2 nM and 2.9 nM, respectively. It is inactive to SIRT2. Phase 1/2.",DNA Damage
S1036,UCD-0001810,PD0325901,L2000-01,B03,L2000-01,C07,482.19,391210-10-9,MEK,"PD0325901 (PD325901) is selective and non ATP-competitive MEK inhibitor with IC50 of 0.33 nM, roughly 500-fold more potent than CI-1040 on phosphorylation of ERK1 and ERK2. Phase 1/2.",DNA Damage
S1070,UCD-0159263,PHA-665752,L2000-01,B04,L2000-01,C08,641.61,477575-56-7,c-Met,"PHA-665752 is a potent, selective and ATP-competitive c-Met inhibitor with IC50 of 9 nM,  >50-fold selectivity for c-Met than RTKs or STKs.",Others
S1093,UCD-0159269,GSK1904529A,L2000-01,B05,L2000-01,C09,851.96,1089283-49-7,IGF-1R,"GSK1904529A is a selective inhibitor of IGF-1R and IR with IC50 of 27 nM and 25 nM, >100-fold more selective for IGF-1R/InsR than Akt1/2, Aurora A/B,B-Raf, CDK2, EGFR etc.",Others
S1110,UCD-0159273,Varespladib (LY315920),L2000-01,B06,L2000-01,C10,380.39,172732-68-2,Phospholipase (e.g. PLA),"LY315920 (Varespladib) is a potent and selective human non-pancreatic secretory phospholipase A2 (hnsPLA) inhibitor with IC50 of 7 nM,. Phase 3.",Others
S1144,UCD-0017907,Ivacaftor (VX-770),L2000-01,B07,L2000-01,C11,392.49,873054-44-5,CFTR,"Ivacaftor (VX-770) is a potentiator of CFTR targeting G551D-CFTR and F508del-CFTR with EC50 of 100 nM and 25 nM, respectively.",Others
S1180,UCD-0159284,XAV-939,L2000-01,B08,L2000-01,D02,312.31,284028-89-3,Wnt/beta-catenin,"XAV-939 selectively inhibits Wnt/β-catenin-mediated transcription through tankyrase1/2 inhibition with IC50 of 11 nM/4 nM, regulates axin levels and does not affect CRE, NF-κB or TGF-β.",Stem Cells &  Wnt
S1202,UCD-0017999,Dutasteride,L2000-01,B09,L2000-01,D03,528.53,164656-23-9,5-alpha Reductase,Dutasteride is a dual 5-α reductase inhibitor that inhibits conversion of testosterone to dihydrotestosterone (DHT).,Endocrinology & Hormones
S1261,UCD-0000721,Celecoxib,L2000-01,B10,L2000-01,D04,381.37,169590-42-5,COX,Celecoxib is a selective COX-2 inhibitor with IC50 of 40 nM.,Neuronal Signaling
S1329,UCD-0001014,Etomidate,L2000-01,B11,L2000-01,D05,244.29,33125-97-2,GABA Receptor,Etomidate is a GABAA receptors agonist at GABAA receptors.,Neuronal Signaling
S1007,UCD-0159258,Roxadustat (FG-4592),L2000-01,C02,L2000-01,D06,352.34,808118-40-3,HIF,"FG-4592 is an HIF α prolyl hydroxylase inhibitor, stabilizes HIF-2 and induces EPO production. Phase 2/3.",Angiogenesis
S1041,UCD-0159261,STF-62247,L2000-01,C03,L2000-01,D07,267.35,315702-99-9,Others,STF-62247 shows selective toxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).,Others
S1071,UCD-0159264,HA14-1,L2000-01,C04,L2000-01,D08,409.23,65673-63-4,Bcl-2,HA14-1 is a non-peptidic ligand of a Bcl-2 surface pocket with IC50 of ~9 μM.,Neuronal Signaling
S1094,UCD-0001775,PF-04217903,L2000-01,C05,L2000-01,D09,372.38,956905-27-4,c-Met,"PF-04217903 is a selective ATP-competitive c-Met inhibitor with IC50 of 4.8 nM, susceptible to oncogenic mutations (no activity to Y1230C mutant). Phase 1.",Others
