pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.46561260381566383,UCD-0000450,Healthy,Neuronal Signaling
0.48899301239921417,UCD-0000450,Healthy,Neuronal Signaling
0.42915298090967546,UCD-0000450,Healthy,Neuronal Signaling
0.6118066802053691,UCD-0000450,Healthy,Neuronal Signaling
0.5546021343656695,UCD-0000450,Healthy,Neuronal Signaling
0.5371843999606605,UCD-0000450,Healthy,Neuronal Signaling
0.49912615561768225,UCD-0000450,Healthy,Neuronal Signaling
0.6652118470456893,UCD-0000450,Healthy,Neuronal Signaling
0.6005207398778071,UCD-0000450,Healthy,Neuronal Signaling
0.5744819910393545,UCD-0000450,Healthy,Neuronal Signaling
0.4953049636186152,UCD-0000450,Healthy,Neuronal Signaling
0.6316138161874767,UCD-0000450,Healthy,Neuronal Signaling
0.6678557578932434,UCD-0000450,Healthy,Neuronal Signaling
0.57730663143905,UCD-0000450,Healthy,Neuronal Signaling
0.48937133377974623,UCD-0000450,Healthy,Neuronal Signaling
0.5813655990386181,UCD-0000450,Healthy,Neuronal Signaling
0.5994549068879416,UCD-0000450,Healthy,Neuronal Signaling
0.5562697990766711,UCD-0000450,Healthy,Neuronal Signaling
0.4969500338374261,UCD-0000450,Healthy,Neuronal Signaling
0.633308956027797,UCD-0000450,Healthy,Neuronal Signaling
0.5078906248429371,UCD-0000450,Healthy,Neuronal Signaling
0.5366305192401247,UCD-0000450,Healthy,Neuronal Signaling
0.41338848362922,UCD-0000450,Healthy,Neuronal Signaling
0.6022706249371487,UCD-0000450,Healthy,Neuronal Signaling
0.5181598536240655,UCD-0000450,Healthy,Neuronal Signaling
0.5255875171891353,UCD-0000450,Healthy,Neuronal Signaling
0.39815269609317194,UCD-0000450,Healthy,Neuronal Signaling
0.5914000222307191,UCD-0000450,Healthy,Neuronal Signaling
0.480805818581106,UCD-0000450,Healthy,Neuronal Signaling
0.5014375175401499,UCD-0000450,Healthy,Neuronal Signaling
0.3052050487595176,UCD-0000450,Healthy,Neuronal Signaling
0.42756825257493175,UCD-0000450,Healthy,Neuronal Signaling
0.6357019452615471,UCD-0000450,Healthy,Neuronal Signaling
0.5909366783397969,UCD-0000450,Healthy,Neuronal Signaling
0.6307713223440938,UCD-0000450,Healthy,Neuronal Signaling
0.7496734675287572,UCD-0000450,Healthy,Neuronal Signaling
0.5627664669572316,UCD-0000450,Healthy,Neuronal Signaling
0.6482888443404828,UCD-0000450,Healthy,Neuronal Signaling
0.6803236412399437,UCD-0000450,Healthy,Neuronal Signaling
0.6801036011694006,UCD-0000450,Healthy,Neuronal Signaling
0.6787236392254623,UCD-0000450,Healthy,Neuronal Signaling
0.7020030017408441,UCD-0000450,Healthy,Neuronal Signaling
0.6756537853917821,UCD-0000450,Healthy,Neuronal Signaling
0.7003567083332116,UCD-0000450,Healthy,Neuronal Signaling
0.5699742698858394,UCD-0000450,Healthy,Neuronal Signaling
0.49063361653902277,UCD-0000450,Healthy,Neuronal Signaling
0.4869567954492981,UCD-0000450,Healthy,Neuronal Signaling
0.5130876716813306,UCD-0000450,Healthy,Neuronal Signaling
0.5544762283287509,UCD-0000450,Healthy,Neuronal Signaling
0.5493159754967946,UCD-0000450,Healthy,Neuronal Signaling
0.550976547866683,UCD-0000450,Healthy,Neuronal Signaling
0.697007151931701,UCD-0000450,Healthy,Neuronal Signaling
